title,main_genre,runtime,vote_average,imdb_id,release_date,year
Toy Story,Animation,81.0,7.7,tt0114709,1995-10-30,1995
Jumanji,Adventure,104.0,6.9,tt0113497,1995-12-15,1995
Grumpier Old Men,Romance,101.0,6.5,tt0113228,1995-12-22,1995
Waiting to Exhale,Comedy,127.0,6.1,tt0114885,1995-12-22,1995
Father of the Bride Part II,Comedy,106.0,5.7,tt0113041,1995-02-10,1995
Heat,Action,170.0,7.7,tt0113277,1995-12-15,1995
Sabrina,Comedy,127.0,6.2,tt0114319,1995-12-15,1995
Tom and Huck,Action,97.0,5.4,tt0112302,1995-12-22,1995
Sudden Death,Action,106.0,5.5,tt0114576,1995-12-22,1995
GoldenEye,Adventure,130.0,6.6,tt0113189,1995-11-16,1995
The American President,Comedy,106.0,6.5,tt0112346,1995-11-17,1995
Dracula: Dead and Loving It,Comedy,88.0,5.7,tt0112896,1995-12-22,1995
Balto,Family,78.0,7.1,tt0112453,1995-12-22,1995
Nixon,History,192.0,7.1,tt0113987,1995-12-22,1995
Cutthroat Island,Action,119.0,5.7,tt0112760,1995-12-22,1995
Casino,Drama,178.0,7.8,tt0112641,1995-11-22,1995
Sense and Sensibility,Drama,136.0,7.2,tt0114388,1995-12-13,1995
Four Rooms,Crime,98.0,6.5,tt0113101,1995-12-09,1995
Ace Ventura: When Nature Calls,Crime,90.0,6.1,tt0112281,1995-11-10,1995
Money Train,Action,103.0,5.4,tt0113845,1995-11-21,1995
Get Shorty,Comedy,105.0,6.4,tt0113161,1995-10-20,1995
Copycat,Drama,124.0,6.5,tt0112722,1995-10-27,1995
Assassins,Action,132.0,6.0,tt0112401,1995-10-06,1995
Powder,Drama,111.0,6.3,tt0114168,1995-10-27,1995
Leaving Las Vegas,Drama,112.0,7.1,tt0113627,1995-10-27,1995
Othello,Drama,123.0,7.0,tt0114057,1995-12-15,1995
Now and Then,Comedy,100.0,6.6,tt0114011,1995-10-20,1995
Persuasion,Drama,104.0,7.4,tt0114117,1995-09-27,1995
The City of Lost Children,Fantasy,108.0,7.6,tt0112682,1995-05-16,1995
Shanghai Triad,Drama,108.0,6.5,tt0115012,1995-04-30,1995
Dangerous Minds,Drama,99.0,6.4,tt0112792,1995-08-11,1995
Twelve Monkeys,Science Fiction,129.0,7.4,tt0114746,1995-12-29,1995
Wings of Courage,Romance,50.0,6.8,tt0114952,1996-09-18,1996
Babe,Fantasy,89.0,6.0,tt0112431,1995-07-18,1995
Carrington,History,121.0,6.4,tt0112637,1995-11-08,1995
Dead Man Walking,Drama,122.0,7.3,tt0112818,1995-12-29,1995
Across the Sea of Time,Adventure,51.0,3.5,tt0112286,1995-10-20,1995
It Takes Two,Comedy,101.0,6.1,tt0113442,1995-11-17,1995
Clueless,Comedy,97.0,6.9,tt0112697,1995-07-19,1995
"Cry, the Beloved Country",Drama,106.0,6.7,tt0112749,1995-12-15,1995
Richard III,Drama,104.0,6.9,tt0114279,1995-12-29,1995
Dead Presidents,Action,119.0,6.6,tt0112819,1995-10-06,1995
Restoration,Drama,117.0,6.3,tt0114272,1995-12-29,1995
Mortal Kombat,Action,101.0,5.4,tt0113855,1995-08-18,1995
To Die For,Fantasy,106.0,6.7,tt0114681,1995-05-20,1995
How To Make An American Quilt,Drama,116.0,6.5,tt0113347,1995-10-06,1995
Se7en,Crime,127.0,8.1,tt0114369,1995-09-22,1995
Pocahontas,Adventure,81.0,6.7,tt0114148,1995-06-14,1995
When Night Is Falling,Drama,96.0,5.9,tt0114916,1995-05-05,1995
The Usual Suspects,Drama,106.0,8.1,tt0114814,1995-07-19,1995
Guardian Angel,Action,93.0,6.3,tt0109950,1994-11-22,1994
Mighty Aphrodite,Comedy,95.0,6.7,tt0113819,1995-09-13,1995
Lamerica,Drama,116.0,7.7,tt0110299,1994-01-01,1994
The Big Green,Action,100.0,5.2,tt0112499,1995-09-29,1995
Georgia,Drama,115.0,6.1,tt0113158,1995-05-19,1995
Home for the Holidays,Comedy,103.0,6.3,tt0113321,1995-11-02,1995
The Postman,Comedy,108.0,7.6,tt0110877,1994-09-22,1994
The Confessional,Thriller,100.0,6.5,tt0112714,1995-09-29,1995
The Indian in the Cupboard,Adventure,96.0,5.9,tt0113419,1995-07-14,1995
Eye for an Eye,Drama,101.0,5.8,tt0116260,1996-01-12,1996
Mr. Holland's Opus,Music,137.0,6.9,tt0113862,1995-12-29,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,89.0,6.2,tt0116126,1996-01-12,1996
Two If by Sea,Comedy,96.0,4.5,tt0118002,1996-01-12,1996
Bio-Dome,Comedy,88.0,4.4,tt0115683,1996-01-12,1996
Lawnmower Man 2: Beyond Cyberspace,Action,92.0,2.8,tt0116839,1996-01-12,1996
Two Bits,Drama,85.0,5.4,tt0114753,1995-10-22,1995
French Twist,Comedy,95.0,6.0,tt0113149,1995-02-08,1995
Friday,Comedy,91.0,7.0,tt0113118,1995-04-26,1995
From Dusk Till Dawn,Horror,108.0,6.9,tt0116367,1996-01-19,1996
Fair Game,Action,91.0,4.1,tt0113010,1995-11-03,1995
Kicking and Screaming,Comedy,96.0,7.0,tt0113537,1995-10-06,1995
Les Miserables,Drama,175.0,6.6,tt0113828,1995-03-22,1995
Bed of Roses,Drama,87.0,5.1,tt0115644,1996-01-26,1996
Big Bully,Comedy,90.0,3.9,tt0115676,1996-01-26,1996
Screamers,Horror,108.0,6.1,tt0114367,1995-09-08,1995
Nico Icon,Documentary,70.0,7.3,tt0113973,1995-02-18,1995
The Crossing Guard,Drama,111.0,6.1,tt0112744,1995-11-15,1995
The Juror,Drama,118.0,5.5,tt0116731,1996-02-02,1996
The White Balloon,Family,85.0,7.5,tt0112445,1995-01-01,1995
Things to Do in Denver When You're Dead,Drama,116.0,6.7,tt0114660,1995-12-01,1995
Antonia's Line,Drama,102.0,7.2,tt0112379,1995-09-12,1995
Once Upon a Time... When We Were Colored,Romance,115.0,4.5,tt0114039,1996-01-26,1996
Angels and Insects,Drama,118.0,6.3,tt0112365,1995-09-10,1995
White Squall,Action,129.0,6.3,tt0118158,1996-02-02,1996
Dunston Checks In,Adventure,88.0,5.1,tt0116151,1996-01-12,1996
Black Sheep,Comedy,87.0,6.0,tt0115697,1996-02-01,1996
Nick of Time,Crime,90.0,6.1,tt0113972,1995-11-22,1995
The Journey of August King,Drama,91.0,6.7,tt0113490,1995-09-14,1995
Mary Reilly,Drama,104.0,5.7,tt0117002,1996-02-23,1996
Vampire in Brooklyn,Comedy,100.0,4.5,tt0114825,1995-10-26,1995
Beautiful Girls,Comedy,112.0,6.6,tt0115639,1996-02-09,1996
Broken Arrow,Action,108.0,5.7,tt0115759,1996-02-09,1996
A Midwinter's Tale,Comedy,99.0,7.5,tt0113403,1995-12-01,1995
La Haine,Drama,98.0,7.9,tt0113247,1995-05-31,1995
Shopping,Action,105.0,5.6,tt0111173,1994-12-06,1994
Heidi Fleiss: Hollywood Madam,Documentary,106.0,6.8,tt0113283,1995-12-27,1995
City Hall,Drama,111.0,6.0,tt0115907,1996-02-16,1996
Bottle Rocket,Comedy,91.0,6.8,tt0115734,1996-02-21,1996
Mr. Wrong,Comedy,96.0,3.3,tt0117102,1996-02-16,1996
Unforgettable,Drama,106.0,5.3,tt0118040,1996-02-23,1996
Happy Gilmore,Comedy,92.0,6.5,tt0116483,1996-02-16,1996
The Bridges of Madison County,Drama,135.0,7.3,tt0112579,1995-05-28,1995
Nobody Loves Me,Drama,104.0,5.1,tt0110251,1994-11-07,1994
Muppet Treasure Island,Action,100.0,6.5,tt0117110,1996-02-16,1996
Catwalk,Documentary,95.0,7.0,tt0112646,1995-12-08,1995
Headless Body in Topless Bar,Crime,110.0,0.0,tt0113276,1995-05-20,1995
Braveheart,Action,177.0,7.7,tt0112573,1995-05-24,1995
Taxi Driver,Crime,114.0,8.1,tt0075314,1976-02-07,1976
Rumble in the Bronx,Crime,91.0,6.5,tt0113326,1995-01-30,1995
Before and After,Drama,108.0,5.8,tt0115645,1996-02-23,1996
Margaret's Museum,Drama,114.0,7.5,tt0113774,1995-09-13,1995
Happiness Is in the Field,Comedy,106.0,7.0,tt0112556,1995-01-31,1995
Anne Frank Remembered,Documentary,117.0,7.3,tt0112373,1995-06-08,1995
The Young Poisoner's Handbook,Comedy,99.0,6.9,tt0115033,1995-01-20,1995
If Lucy Fell,Comedy,92.0,5.4,tt0116606,1996-03-08,1996
Steal Big Steal Little,Comedy,113.0,5.1,tt0114536,1995-09-29,1995
Race the Sun,Action,100.0,5.2,tt0117427,1996-03-22,1996
The Boys of St. Vincent,Drama,90.0,7.0,tt0106473,1992-12-06,1992
Boomerang,Comedy,117.0,5.4,tt0103859,1992-06-30,1992
Chungking Express,Drama,102.0,7.9,tt0109424,1994-07-14,1994
The Star Maker,Drama,113.0,6.8,tt0114808,1995-09-21,1995
Flirting with Disaster,Comedy,92.0,6.3,tt0116324,1996-03-22,1996
The Neverending Story III: Escape from Fantasia,Fantasy,95.0,4.4,tt0110647,1994-10-26,1994
The Silences of the Palace,Drama,116.0,4.3,tt0111055,1994-09-30,1994
Pie in the Sky,Comedy,95.0,7.0,tt0114131,1996-02-09,1996
Angela,Comedy,99.0,5.6,tt0112364,1995-01-01,1995
Frankie Starlight,Drama,101.0,5.4,tt0113107,1995-11-22,1995
Jade,Action,95.0,5.1,tt0113451,1995-10-13,1995
Nueba Yol,Comedy,102.0,5.5,tt0114015,1995-08-16,1995
